序号,分类,刊物简称,刊物全称,类型,级别,出版社,网址
1,计算机体系结构/并行与分布计算/存储系统,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
1,计算机体系结构/并行与分布计算/存储系统,FAST,USENIX Conference on File and Storage Technologies,Conference,A,USENIX,http://dblp.uni-trier.de/db/conf/fast/
1,计算机体系结构/并行与分布计算/存储系统,DAC,Design Automation Conference,Conference,A,ACM,https://dblp.uni-trier.de/db/conf/dac/
1,计算机体系结构/并行与分布计算/存储系统,HPCA,IEEE International Symposium on High Performance Computer Architecture,Conference,A,IEEE,http://dblp.uni-trier.de/db/conf/cnhpca/
1,计算机体系结构/并行与分布计算/存储系统,MICRO,IEEE/ACM International Symposium on Microarchitecture,Conference,A,IEEE/ACM,http://dblp.uni-trier.de/db/conf/micro/
1,计算机体系结构/并行与分布计算/存储系统,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",Conference,A,IEEE,http://dblp.uni-trier.de/db/conf/sc/
1,计算机体系结构/并行与分布计算/存储系统,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/asplos/
1,计算机体系结构/并行与分布计算/存储系统,ISCA,International Symposium on Computer Architecture,Conference,A,ACM /IEEE,http://dblp.uni-trier.de/db/conf/isca/
1,计算机体系结构/并行与分布计算/存储系统,USENIX ATC,USENIX Annual Technical Conference,Conference,A,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html
1,计算机体系结构/并行与分布计算/存储系统,EuroSys,European Conference on Computer Systems,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
1,计算机体系结构/并行与分布计算/存储系统,TOCS,ACM Transactions on Computer Systems,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/tocs/
1,计算机体系结构/并行与分布计算/存储系统,TOS,ACM Transactions on Storage,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/tos/
1,计算机体系结构/并行与分布计算/存储系统,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Journal,A,IEEE,http://dblp.uni-trier.de/db/journals/tcad/
